,Customer_Name,Celebrity_des,Image
38,Feroz Khan,"Feroz Khan was a male celebrity.He was born on Monday September 25th 1939, in Bangalore, Karnataka, India,.eval(ez_write_tag([[728,90],'celebrities_galore_com-box-3','ezslot_4',162,'0','0']));Feroz Khan has worked hard to gain confidence and overcome, at least to some extend, an in-born shyness. As a child, and into his early twenties, nervous energy may have caused Feroz to bite his nails or express his nervousness in other ways.He is extremely sensitive and intuitive. Khan is vulnerable and he needs to be more careful than most people when he chooses friends. Feroz Khan seems an easy prey to predatory individuals. He will probably find himself the victim of a con man or con woman more than once in his life.In the eyes of most people, Feroz is perceived as gentle; a safe harbor. People are drawn to him because, among other reasons, he radiates warmth and he is unthreatening. Khan's dress is neat and clean. His clothing should be comfortable, soft, and flowing. Feroz should avoid plain and understated clothes, and make an effort to be a little more daring and exciting in his appearance. This will balance nicely with Feroz Khan's perceptive and open personality. The opposite sex is attracted to his gentle and attentive nature, yet senses the passion beneath his surface. Khan has sex appeal. Exercise is important to his appearance and to promote a level of strength he radiates.Feroz Khan is very patient and understanding, and a wonderful listener. He makes others feel important and loved. Feroz is sensitive and becomes tense in a disharmonious atmosphere. He has experienced quite a bit of negative criticism as a child, which made Khan shy growing up. Though he may be well past that shyness, a bit of the vulnerability has remained with Feroz Khan and is often sensed by others.Feroz is a peacemaker. Arguments leave him drained. People sense Feroz's desire for harmony, but he must avoid being the blank tablet for others' projections. People may underestimate his strength, but this is a mistake. Khan is strong. He bends, but does not break.Feroz Khan has a fine sense of beauty and excellent taste. There is a grace in his movements, reflecting his keen sense of harmony and refinement.eval(ez_write_tag([[300,250],'celebrities_galore_com-medrectangle-4','ezslot_3',154,'0','0']));Khan's Personality number often serves as a censoring device, both in terms of what Feroz sends out, as well as what he allows to approach.It discriminates in the kinds of people and information Feroz Khan lets enter his heart and mind.Read more about our numerological interpretation of Feroz Khan's personality number . . .",NONE
39,Farida Jalal,"Farida Jalal is a Bollywood Actor.He was born on Monday March 14th 1949, in Unknown.Farida Jalal appears strong and powerful. He has an impressive personality and can influence and even intimidate through sheer force. He has natural authority. Farida's competence and enthusiasm attract people with resources.Jalal radiates confidence. People defer to him because they sense his sureness and effectiveness. Farida Jalal also exudes a kind of controlled benevolence. People sense that he is generous, once he is convinced of the worthiness of the cause.It is important for Farida to dress well. Jalal radiates a kind of raw power and able-ness, which needs to be refined and enhanced by his clothing. Farida Jalal may even dress a bit flashy, but that will not harm him. Quality is among Farida's highest priorities, and should reflect in his clothing.Although most eights have a strong constitution, they can be prone to indigestion, ulcers, and heart disease due to their reckless eating and drinking habits and their propensity to be workaholics.His Achilles heel is Farida's capacity for an egocentric attitude. The negative side of his personality can cause Jalal to be ruthless, greedy, and intensely lonely.Conversely, Farida Jalal can be spontaneous and excited. He is essentially warm and jovial. In his heart of hearts, Farida wants everyone to be as excited and as happy as him. Those who are around Jalal often sense this, and his coworkers and employees usually like him.Jalal's Personality number often serves as a censoring device, both in terms of what Farida sends out, as well as what he allows to approach.It discriminates in the kinds of people and information Farida Jalal lets enter his heart and mind.Read more about our numerological interpretation of Farida Jalal's personality number . . .",NONE
40,Guru Dutt,"Guru Dutt was a male celebrity.He was born on Thursday July 9th 1925, in Bangalore, Karnataka, India,.eval(ez_write_tag([[728,90],'celebrities_galore_com-box-3','ezslot_4',162,'0','0']));Guru Dutt radiates understanding and compassion. People sense his warmth and fairness. For this reason, Guru attracts many people who are in need of comfort, including the disadvantaged. People tend to come to him to unload their burdens. Dutt inspires confidence.Guru Dutt has a fine sense of justice. He does everything in his power to keep the harmony and is even willing to sacrifice his personal desires for the good of others.Guru can take this too far, however, sometimes playing the role of the martyr. He has to guard against being taken advantage of. Dutt is not always a very good judge of character. He tends to see the best in others. He can also become too involved in the lives of others, to his own detriment. (This aspect can be balanced by other numbers in Guru's chart.)Guru Dutt is hospitable and domestic. He loves children and is a good parent. He is romantic, faithful and very protective.He is artistic. Guru Dutt loves music, flowers and gardening. He is a natural interior designer, and has an excellent sense of color and taste.Guru is more concerned with the content of his personality than his appearance, which causes him to be less conscious of the style of his clothes. He is more interested in comfort and the utility of clothing than the statement it makes.eval(ez_write_tag([[300,250],'celebrities_galore_com-medrectangle-4','ezslot_3',154,'0','0']));Six Personality Numbers are exceedingly generous. Guru Dutt is not particularly logical when it comes to finances.He is very vulnerable to praise and criticism. He also tends to worry a lot, causing stomach problems.People see Guru Dutt as a maternal or paternal figure. They want to relax in his presence and unburden themselves. Guru is the safe port in the crowd.Dutt's Personality number often serves as a censoring device, both in terms of what Guru sends out, as well as what he allows to approach.It discriminates in the kinds of people and information Guru Dutt lets enter his heart and mind.Read more about our numerological interpretation of Guru Dutt's personality number . . .",NONE
41,Govinda,"Sorry, but the page you are trying to view does not exist.Please refine your celebrity-search above or go back home.",NONE
42,Gulshan Grover,"Gulshan Grover is a Bollywood Actor.He was born on Wednesday September 21st 1955, in India,.eval(ez_write_tag([[728,90],'celebrities_galore_com-box-3','ezslot_4',162,'0','0']));Gulshan Grover appears strong and powerful. He has an impressive personality and can influence and even intimidate through sheer force. He has natural authority. Gulshan's competence and enthusiasm attract people with resources.Grover radiates confidence. People defer to him because they sense his sureness and effectiveness. Gulshan Grover also exudes a kind of controlled benevolence. People sense that he is generous, once he is convinced of the worthiness of the cause.It is important for Gulshan to dress well. Grover radiates a kind of raw power and able-ness, which needs to be refined and enhanced by his clothing. Gulshan Grover may even dress a bit flashy, but that will not harm him. Quality is among Gulshan's highest priorities, and should reflect in his clothing.Although most eights have a strong constitution, they can be prone to indigestion, ulcers, and heart disease due to their reckless eating and drinking habits and their propensity to be workaholics.His Achilles heel is Gulshan's capacity for an egocentric attitude. The negative side of his personality can cause Grover to be ruthless, greedy, and intensely lonely.Conversely, Gulshan Grover can be spontaneous and excited. He is essentially warm and jovial. In his heart of hearts, Gulshan wants everyone to be as excited and as happy as him. Those who are around Grover often sense this, and his coworkers and employees usually like him.eval(ez_write_tag([[300,250],'celebrities_galore_com-medrectangle-4','ezslot_3',154,'0','0']));Grover's Personality number often serves as a censoring device, both in terms of what Gulshan sends out, as well as what he allows to approach.It discriminates in the kinds of people and information Gulshan Grover lets enter his heart and mind.Read more about our numerological interpretation of Gulshan Grover's personality number . . .",NONE
43,Gurpreet Ghuggi,"Sorry, but the page you are trying to view does not exist.Please refine your celebrity-search above or go back home.",NONE
44,Girish Karnad,"Girish Karnad is an Actor.He was born on Thursday May 19th 1938, in Matheran, Maharashtra, India,.eval(ez_write_tag([[728,90],'celebrities_galore_com-box-3','ezslot_4',162,'0','0']));Girish Karnad has an impressive and aristocratic bearing. No matter how tall he is, Girish appears noble and upright. He is very much in control of the image he sends out to others.Many actors, dancers, and other performers have a 9 Personality number. Karnad is elegant, graceful, and charismatic. Many admire him.Girish Karnad has the kind of stature that pulls people to him or repels them intensely. Some are jealous of Girish and may seek to belittle him.Girish may encourage this to some extent by the amount of arrogance he radiates. This is a caution for all 9 Personalities - they are sometimes aloof and hold themselves above the world. Karnad's challenge is to come down to earth with his fellow man.Conversely, Girish Karnad has a great compassion for humanity and he wants to dedicate himself to improving the lot of others. He is better when dealing with the trials of the many than the trouble of a single person. Girish is more capable of working on the grand scale, addressing the needs of society, than on a one-to-one basis.Karnad is kind and sympathetic, helpful and compassionate. Behind the controlled and calm facade, he is sensitive, vulnerable and emotional.eval(ez_write_tag([[300,250],'celebrities_galore_com-medrectangle-4','ezslot_3',154,'0','0']));Girish Karnad has excellent taste. There is a good deal of artistic talent in him that shows in his home environment and his clothing.Girish Karnad tends to see himself as a guardian of society, a benevolent leader, guiding and directing his community toward a better world.Karnad's Personality number often serves as a censoring device, both in terms of what Girish sends out, as well as what he allows to approach.It discriminates in the kinds of people and information Girish Karnad lets enter his heart and mind.Read more about our numerological interpretation of Girish Karnad's personality number . . .",NONE
45,Hrithik Roshan,"eval(ez_write_tag([[728,90],'celebrities_galore_com-box-3','ezslot_4',162,'0','0']));“ I don't consider myself a good actor.”Hrithik Roshan is an Indian film actor who has established a successful career in Bollywood, has won six Filmfare Awards, and is cited in the media as one of the most attractive male celebrities in India.He was born on Thursday January 10th 1974, in Mumbai, Maharashtra, India.Hrithik Roshan seems mysterious and different. People see him as serious and studious. Hrithik is highly independent and self-sufficient. His acceptional intelligence and wisdom are quickly noticed, and people respect him. Roshan is not one to attract people on the basis of his warmth or compassion - though he may be loaded with both - but because of his obvious insight into life's mysteries.He is hard to get to know, and is often withdrawn. It is common for people to see Hrithik Roshan's focus turn inside of himself in the middle of a conversation. Hrithik has the makings of an intellectual and an aristocrat but he has to guard against arrogance and an attitude of ""I have got it all figured out"". There have been periods in Hrithik Roshan's life when he had little concern for his clothing or fashion, while at other times he is very aware of his clothing and uses it to make a specific impression. Hrithik appears dignified no matter how he dresses, but a well groomed seven with a touch of dash definitely has an advantage. Roshan's confidence increases when he knows he is well dressed.Hrithik Roshan is recognized as spiritual and religious, with his very own ideas regarding the purpose of life and the Creator. He is an inspired speaker, but only when discussing subjects that really interest him. Otherwise, Hrithik is not one for chatter. His love of knowledge and wisdom shows.Roshan's Personality number often serves as a censoring device, both in terms of what Hrithik sends out, as well as what he allows to approach.It discriminates in the kinds of people and information Hrithik Roshan lets enter his heart and mind.eval(ez_write_tag([[300,250],'celebrities_galore_com-medrectangle-4','ezslot_3',154,'0','0']));Read more about our numerological interpretation of Hrithik Roshan's personality number . . .",https://www.celebrities-galore.com/celebrities-photos/hrithik-roshan.jpg
46,Huma Qureshi,"Sorry, but the page you are trying to view does not exist.Please refine your celebrity-search above or go back home.",NONE
47,Inaamulhaq,"Sorry, but the page you are trying to view does not exist.Please refine your celebrity-search above or go back home.",NONE
48,Irrfan Khan,"Irrfan Khan is an Indian film actor of primarily Hindi cinema who is recognized as one of the finest actors in Indian cinema for his versatile and natural acting, and is the recipient of Padma Shri, India's fourth highest civilian honour for his contribution to the field of arts.He was born on Saturday January 7th 1967, in Jaipur, Rajasthan, India.eval(ez_write_tag([[728,90],'celebrities_galore_com-box-3','ezslot_6',162,'0','0']));Irrfan Khan appears strong and powerful. He has an impressive personality and can influence and even intimidate through sheer force. He has natural authority. Irrfan's competence and enthusiasm attract people with resources.Khan radiates confidence. People defer to him because they sense his sureness and effectiveness. Irrfan Khan also exudes a kind of controlled benevolence. People sense that he is generous, once he is convinced of the worthiness of the cause.It is important for Irrfan to dress well. Khan radiates a kind of raw power and able-ness, which needs to be refined and enhanced by his clothing. Irrfan Khan may even dress a bit flashy, but that will not harm him. Quality is among Irrfan's highest priorities, and should reflect in his clothing.eval(ez_write_tag([[580,400],'celebrities_galore_com-medrectangle-3','ezslot_0',153,'0','0']));Although most eights have a strong constitution, they can be prone to indigestion, ulcers, and heart disease due to their reckless eating and drinking habits and their propensity to be workaholics.His Achilles heel is Irrfan's capacity for an egocentric attitude. The negative side of his personality can cause Khan to be ruthless, greedy, and intensely lonely.Conversely, Irrfan Khan can be spontaneous and excited. He is essentially warm and jovial. In his heart of hearts, Irrfan wants everyone to be as excited and as happy as him. Those who are around Khan often sense this, and his coworkers and employees usually like him.eval(ez_write_tag([[300,250],'celebrities_galore_com-medrectangle-4','ezslot_2',154,'0','0']));Khan's Personality number often serves as a censoring device, both in terms of what Irrfan sends out, as well as what he allows to approach.It discriminates in the kinds of people and information Irrfan Khan lets enter his heart and mind.Read more about our numerological interpretation of Irrfan Khan's personality number . . .",NONE
49,Jackie Shroff,"Jackie Shroff is a Bollywood Actor.He was born on Friday February 1st 1957, in Mumbai, India,.eval(ez_write_tag([[728,90],'celebrities_galore_com-box-3','ezslot_4',162,'0','0']));Jackie Shroff has an impressive and aristocratic bearing. No matter how tall he is, Jagga appears noble and upright. He is very much in control of the image he sends out to others.Many actors, dancers, and other performers have a 9 Personality number. Shroff is elegant, graceful, and charismatic. Many admire him.Jackie Shroff has the kind of stature that pulls people to him or repels them intensely. Some are jealous of Jagga and may seek to belittle him.Jagga may encourage this to some extent by the amount of arrogance he radiates. This is a caution for all 9 Personalities - they are sometimes aloof and hold themselves above the world. Shroff's challenge is to come down to earth with his fellow man.Conversely, Jackie Shroff has a great compassion for humanity and he wants to dedicate himself to improving the lot of others. He is better when dealing with the trials of the many than the trouble of a single person. Jagga is more capable of working on the grand scale, addressing the needs of society, than on a one-to-one basis.Shroff is kind and sympathetic, helpful and compassionate. Behind the controlled and calm facade, he is sensitive, vulnerable and emotional.eval(ez_write_tag([[300,250],'celebrities_galore_com-medrectangle-4','ezslot_3',154,'0','0']));Jackie Shroff has excellent taste. There is a good deal of artistic talent in him that shows in his home environment and his clothing.Jackie Shroff tends to see himself as a guardian of society, a benevolent leader, guiding and directing his community toward a better world.Shroff's Personality number often serves as a censoring device, both in terms of what Jagga sends out, as well as what he allows to approach.It discriminates in the kinds of people and information Jackie Shroff lets enter his heart and mind.Read more about our numerological interpretation of Jackie Shroff's personality number . . .",NONE
50,Jimmy Sheirgill,"Sorry, but the page you are trying to view does not exist.Please refine your celebrity-search above or go back home.",NONE
51,Jeetendra,"Sorry, but the page you are trying to view does not exist.Please refine your celebrity-search above or go back home.",NONE
52,Jaspal Bhatti,"Sorry, but the page you are trying to view does not exist.Please refine your celebrity-search above or go back home.",NONE
53,Johnny Lever,"Johnny Lever is a male celebrity.He was born on Tuesday August 14th 1956, in Unknown.Johnny Lever radiates understanding and compassion. People sense his warmth and fairness. For this reason, Johnny attracts many people who are in need of comfort, including the disadvantaged. People tend to come to him to unload their burdens. Lever inspires confidence.Johnny Lever has a fine sense of justice. He does everything in his power to keep the harmony and is even willing to sacrifice his personal desires for the good of others.Johnny can take this too far, however, sometimes playing the role of the martyr. He has to guard against being taken advantage of. Lever is not always a very good judge of character. He tends to see the best in others. He can also become too involved in the lives of others, to his own detriment. (This aspect can be balanced by other numbers in Johnny's chart.)Johnny Lever is hospitable and domestic. He loves children and is a good parent. He is romantic, faithful and very protective.He is artistic. Johnny Lever loves music, flowers and gardening. He is a natural interior designer, and has an excellent sense of color and taste.Johnny is more concerned with the content of his personality than his appearance, which causes him to be less conscious of the style of his clothes. He is more interested in comfort and the utility of clothing than the statement it makes.Six Personality Numbers are exceedingly generous. Johnny Lever is not particularly logical when it comes to finances.He is very vulnerable to praise and criticism. He also tends to worry a lot, causing stomach problems.People see Johnny Lever as a maternal or paternal figure. They want to relax in his presence and unburden themselves. Johnny is the safe port in the crowd.Lever's Personality number often serves as a censoring device, both in terms of what Johnny sends out, as well as what he allows to approach.It discriminates in the kinds of people and information Johnny Lever lets enter his heart and mind.Read more about our numerological interpretation of Johnny Lever's personality number . . .",NONE
54,Jaswinder Bhalla,"Sorry, but the page you are trying to view does not exist.Please refine your celebrity-search above or go back home.",NONE
55,Kamal Haasan,"Kamal Haasan is an Indian film actor, screenwriter, director, producer, playback singer, choreographer and lyricist.He was born on Sunday November 7th 1954, in Neelankarai,Chennai, Tamil Nadu, India.eval(ez_write_tag([[728,90],'celebrities_galore_com-box-3','ezslot_4',162,'0','0']));Kamal Haasan is a stimulating person. He brighten social gatherings with his fresh and original ideas. His conversation tends to be sprinkled with novelty and wit. Kamal has a quick tongue and charisma. He is probably an excellent salesman. There is a lot of nervous energy within him looking for an outlet.Haasan loves his freedom and he sees this life as an ongoing adventure. He is upbeat and optimistic. This is infectious for those Kamal Haasan meets. As a result, Kamal inspires others.He has a strong and attractive body, with good muscle tone. Kamal's movements are supple, graceful, and athletic.Haasan's bane is that he loves to indulge his senses with food and drink and can easily gain weight. He has an appetite for anything that stimulates the senses - sex, food, alcohol, and drugs. Discipline is a necessity for him. The negative side of a 5 Personality Number can give rise to an addictive personality.Kamal Haasan likes to dress fashionably and can get away with more colorful clothes. However, he should be aware of the value of quality and the power of modesty.He is a little irresponsible and quick in satisfying his sensual urges. Kamal is attractive and that, coupled with his innate ability to promote himself, makes it easy for him to satisfy his desire for new and exciting relationships.eval(ez_write_tag([[300,250],'celebrities_galore_com-medrectangle-4','ezslot_3',154,'0','0']));Haasan has a kind of swashbuckling personality. People see him as the adventurer that he is. They expect the unexpected from him, and when they do not - Kamal often surprises them.Kamal Haasan has a quick and eclectic mind. He attracts information from all directions, but he can be a bit superficial, skimming over the surface of a wide diversity of subjects. This may cause Kamal to be a bit of a dilettante. He can get away with it much of the time, but for his own success and happiness, Haasan should try to ground knowledge and deepen his understanding.Kamal Haasan's versatility and adaptability make him capable of getting the most out of virtually every opportunity in life. He decides quickly on a course of action and his timing is usually good. Kamal radiates with the potential for success, which attracts others who can further him along his path.Haasan's Personality number often serves as a censoring device, both in terms of what Kamal sends out, as well as what he allows to approach.It discriminates in the kinds of people and information Kamal Haasan lets enter his heart and mind.Read more about our numerological interpretation of Kamal Haasan's personality number . . .",https://www.celebrities-galore.com/celebrities-photos/kamal-haasan.jpg
56,Kangana Ranaut,"eval(ez_write_tag([[728,90],'celebrities_galore_com-box-3','ezslot_4',162,'0','0']));“ Initially, I wanted to do films with A-list actors when I was struggling. I was hoping that I could also get that platform where I'm launched with Shah Rukh Khan, Salman Khan or Aamir Khan... and with them my career could also start, but it didn't happen. And then came 'Queen.'”Kangana Ranaut is a female celebrity.She was born on Friday March 20th 1987, in Bhambla, Himachal Pradesh, India,.Kangana Ranaut appears strong and powerful. She has an impressive personality and can influence and even intimidate through sheer force. She has natural authority. Kangana's competence and enthusiasm attract people with resources.Ranaut radiates confidence. People defer to her because they sense her sureness and effectiveness. Kangana Ranaut also exudes a kind of controlled benevolence. People sense that she is generous, once she is convinced of the worthiness of the cause.It is important for Kangana to dress well. Ranaut radiates a kind of raw power and able-ness, which needs to be refined and enhanced by her clothing. Kangana Ranaut may even dress a bit flashy, but that will not harm her. Quality is among Kangana's highest priorities, and should reflect in her clothing.Although most eights have a strong constitution, they can be prone to indigestion, ulcers, and heart disease due to their reckless eating and drinking habits and their propensity to be workaholics.Her Achilles heel is Kangana's capacity for an egocentric attitude. The negative side of her personality can cause Ranaut to be ruthless, greedy, and intensely lonely.eval(ez_write_tag([[300,250],'celebrities_galore_com-medrectangle-4','ezslot_3',154,'0','0']));Conversely, Kangana Ranaut can be spontaneous and excited. She is essentially warm and jovial. In her heart of hearts, Kangana wants everyone to be as excited and as happy as her. Those who are around Ranaut often sense this, and her coworkers and employees usually like her.Ranaut's Personality number often serves as a censoring device, both in terms of what Kangana sends out, as well as what she allows to approach.It discriminates in the kinds of people and information Kangana Ranaut lets enter her heart and mind.Read more about our numerological interpretation of Kangana Ranaut's personality number . . .",https://www.celebrities-galore.com/celebrities-photos/kangana-ranaut.jpg
57,Kader Khan,"Kader Khan is a Bollywood Actress.She was born on Friday November 12th 1937, in Pishin, Baluchistan, Pakistan,.eval(ez_write_tag([[728,90],'celebrities_galore_com-box-3','ezslot_4',162,'0','0']));Kader Khan is highly attractive. Many men with a 3 Personality are very handsome, and women are often strikingly beautiful.Kader's vibration is full of life. Khan is uplifting, inspiring, and charming. She is a fun person to be around. Her wit and sparkling personality make Kader Khan the life of a party. She is extroverted and optimistic. Kader appreciates fine clothing and jewelry, and enjoys dressing up a bit. She likes glamour, and is sought after by the opposite sex.Khan is a romantic. She falls in and out of love rather quickly. Kader Khan is affectionate and giving, but she must not let her charm be an incentive to play too much. Kader should work at developing deep and lasting relationships. She has to avoid scattering her attention for popularity. Khan can be flippant about commitments and may dramatize or exaggerate. Her wit can cause Kader to rely too much on superficial, humorous conversation.Kader Khan has a distinct ""lucky streak"" that attracts many opportunities throughout her life. She also has a knack of promoting herself as well as inspiring others. When backed up by hard work and self-disciple, these qualities almost ensure Khan's success.Khan's Personality number often serves as a censoring device, both in terms of what Kader sends out, as well as what she allows to approach.It discriminates in the kinds of people and information Kader Khan lets enter her heart and mind.eval(ez_write_tag([[300,250],'celebrities_galore_com-medrectangle-4','ezslot_3',154,'0','0']));Read more about our numerological interpretation of Kader Khan's personality number . . .",https://www.celebrities-galore.com/celebrities-photos/kader-khan.jpg
58,Kay Kay Menon,"Sorry, but the page you are trying to view does not exist.Please refine your celebrity-search above or go back home.",NONE
59,Kajol,"Sorry, but the page you are trying to view does not exist.Please refine your celebrity-search above or go back home.",NONE
60,Kulbhushan Kharbanda,"Sorry, but the page you are trying to view does not exist.Please refine your celebrity-search above or go back home.",NONE
61,Kalki Koechlin,"Kalki Koechlin is a male celebrity.He was born on Sunday January 9th 1983, in Pondicherry, India,.eval(ez_write_tag([[728,90],'celebrities_galore_com-box-3','ezslot_4',162,'0','0']));Kalki Koechlin radiates with a dynamic and efficient energy. He appears controlled and capable. Kalki values courage and effort in the face of difficulties and these qualities show. Others can sense that he will not be pushed around.Kalki should dress in a dignified and correct manner, caring for the details of his appearance. While he may spend most of his time in staid business dress or suits, bright and cheerful colors work well for him. Koechlin is fashionable, but has his own style.Kalki Koechlin's appearance suffers more than most people when he is overweight. Overweight directly contradicts the type of personality Kalki is trying to project. Straight lines and square corners accent his good physique and enhance his appearance as a leader.Koechlin is recognized as a pioneer; he has his own ideas of how to do things. He is a risk-taker, original and highly creative.Kalki Koechlin should be wary of appearing too aggressive or unreceptive. He can intimidate people if he does not soften his exterior somewhat. By doing this, Kalki will attract less confident people who will be more willing to approach him with their thoughts and suggestions.Koechlin's Personality number often serves as a censoring device, both in terms of what Kalki sends out, as well as what he allows to approach.eval(ez_write_tag([[300,250],'celebrities_galore_com-medrectangle-4','ezslot_3',154,'0','0']));It discriminates in the kinds of people and information Kalki Koechlin lets enter his heart and mind.Read more about our numerological interpretation of Kalki Koechlin's personality number . . .",NONE
62,Kapil Sharma,"Sorry, but the page you are trying to view does not exist.Please refine your celebrity-search above or go back home.",NONE
63,Krishna Abhishek,"Sorry, but the page you are trying to view does not exist.Please refine your celebrity-search above or go back home.",NONE
64,Karuna Bannerjee,"Sorry, but the page you are trying to view does not exist.Please refine your celebrity-search above or go back home.",NONE
65,Kanwaljit Singh,"Sorry, but the page you are trying to view does not exist.Please refine your celebrity-search above or go back home.",NONE
66,Lara Dutta,"Lara Dutta is an Indian actress, model and beauty queen who is the second woman from India to be crowned Miss Universe, has been the only delegate from India to win the crown since, and is the recipient of several accolades including a Filmfare Award.She was born on Sunday April 16th 1978, in Ghaziabad, Uttar Pradesh, India.eval(ez_write_tag([[728,90],'celebrities_galore_com-box-3','ezslot_5',162,'0','0']));Lara Dutta has worked hard to gain confidence and overcome, at least to some extend, an in-born shyness. As a child, and into her early twenties, nervous energy may have caused Lara to bite her nails or express her nervousness in other ways.She is extremely sensitive and intuitive. Dutta is vulnerable and she needs to be more careful than most people when she chooses friends. Lara Dutta seems an easy prey to predatory individuals. She will probably find herself the victim of a con man or con woman more than once in her life.In the eyes of most people, Lara is perceived as gentle; a safe harbor. People are drawn to her because, among other reasons, she radiates warmth and she is unthreatening. Dutta's dress is neat and clean. Her clothing should be comfortable, soft, and flowing. Lara should avoid plain and understated clothes, and make an effort to be a little more daring and exciting in her appearance. This will balance nicely with Lara Dutta's perceptive and open personality. The opposite sex is attracted to her gentle and attentive nature, yet senses the passion beneath her surface. Dutta has sex appeal. Exercise is important to her appearance and to promote a level of strength she radiates.eval(ez_write_tag([[580,400],'celebrities_galore_com-medrectangle-3','ezslot_0',153,'0','0']));Lara Dutta is very patient and understanding, and a wonderful listener. She makes others feel important and loved. Lara is sensitive and becomes tense in a disharmonious atmosphere. She has experienced quite a bit of negative criticism as a child, which made Dutta shy growing up. Though she may be well past that shyness, a bit of the vulnerability has remained with Lara Dutta and is often sensed by others.Lara is a peacemaker. Arguments leave her drained. People sense Lara's desire for harmony, but she must avoid being the blank tablet for others' projections. People may underestimate her strength, but this is a mistake. Dutta is strong. She bends, but does not break.Lara Dutta has a fine sense of beauty and excellent taste. There is a grace in her movements, reflecting her keen sense of harmony and refinement.eval(ez_write_tag([[300,250],'celebrities_galore_com-medrectangle-4','ezslot_2',154,'0','0']));Dutta's Personality number often serves as a censoring device, both in terms of what Lara sends out, as well as what she allows to approach.It discriminates in the kinds of people and information Lara Dutta lets enter her heart and mind.Read more about our numerological interpretation of Lara Dutta's personality number . . .",NONE
67,Manjot Singh,"Sorry, but the page you are trying to view does not exist.Please refine your celebrity-search above or go back home.",NONE
68,Mehmood,"Sorry, but the page you are trying to view does not exist.Please refine your celebrity-search above or go back home.",NONE
69,Mukesh Tiwari,"Sorry, but the page you are trying to view does not exist.Please refine your celebrity-search above or go back home.",NONE
70,Mammootty,"Sorry, but the page you are trying to view does not exist.Please refine your celebrity-search above or go back home.",NONE
71,Makrand Deshpande,"Sorry, but the page you are trying to view does not exist.Please refine your celebrity-search above or go back home.",NONE
72,Madhavan,"Sorry, but the page you are trying to view does not exist.Please refine your celebrity-search above or go back home.",NONE
73,Mohanlal,"Sorry, but the page you are trying to view does not exist.Please refine your celebrity-search above or go back home.",NONE
74,Mita Vasisht,"Sorry, but the page you are trying to view does not exist.Please refine your celebrity-search above or go back home.",NONE
75,Manoj Bajpayee,"Sorry, but the page you are trying to view does not exist.Please refine your celebrity-search above or go back home.",NONE
76,Manoj Joshi,"Sorry, but the page you are trying to view does not exist.Please refine your celebrity-search above or go back home.",NONE
77,Madhuri Dixit,"eval(ez_write_tag([[728,90],'celebrities_galore_com-box-3','ezslot_4',162,'0','0']));“ I've started doing my Kathak, and I rehearse every day. Also, I'm eating right and keeping in shape. I'm a non-smoker and non-drinker and essentially a happy person. That's what counts the most. Your well-being is reflected in your personality.”Madhuri Dixit is an Indian actress of mostly Hindi cinema who was a leading actress in the 1980s, 1990s and early-2000s, has been praised by critics for her acting and dancing skills, and received six Filmfare Awards, and was awarded the Padma Shri in 2008.She was born on Monday May 15th 1967, in Mumbai, Maharashtra, India.Madhuri Dixit radiates with a dynamic and efficient energy. She appears controlled and capable. Madhuri values courage and effort in the face of difficulties and these qualities show. Others can sense that she will not be pushed around.Madhuri should dress in a dignified and correct manner, caring for the details of her appearance. While she may spend most of her time in staid business dress or suits, bright and cheerful colors work well for her. Dixit is fashionable, but has her own style.Madhuri Dixit's appearance suffers more than most people when she is overweight. Overweight directly contradicts the type of personality Madhuri is trying to project. Straight lines and square corners accent her good physique and enhance her appearance as a leader.Dixit is recognized as a pioneer; she has her own ideas of how to do things. She is a risk-taker, original and highly creative.Madhuri Dixit should be wary of appearing too aggressive or unreceptive. She can intimidate people if she does not soften her exterior somewhat. By doing this, Madhuri will attract less confident people who will be more willing to approach her with their thoughts and suggestions.eval(ez_write_tag([[300,250],'celebrities_galore_com-medrectangle-4','ezslot_3',154,'0','0']));Dixit's Personality number often serves as a censoring device, both in terms of what Madhuri sends out, as well as what she allows to approach.It discriminates in the kinds of people and information Madhuri Dixit lets enter her heart and mind.Read more about our numerological interpretation of Madhuri Dixit's personality number . . .",https://www.celebrities-galore.com/celebrities-photos/madhuri-dixit.jpg
78,Mohnish Bahl,"Sorry, but the page you are trying to view does not exist.Please refine your celebrity-search above or go back home.",NONE
